,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-06-01,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-08,2021-07-15,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-21,2021-08-28,2021-09-05,2021-09-12,2021-09-19,2021-09-27,2021-10-04,2021-10-12,2021-10-19,2021-10-27,2021-11-04,2021-11-11,2021-11-18,2021-11-26,2021-12-03,2021-12-10
JuanBerbesi,0.0015091087132340709,0.0009643648594536638,0.0009451509588223222,0.0012521360029560127,0.0017551738378344757,0.002182435718362474,0.0025676848083043173,0.0027495453180492314,0.0025433241779113155,0.0027908545828842493,0.004315153622446643,0.005293512322961585,0.006042515096599872,0.006180287187855788,0.005941518009450906,0.006282290510556753,0.0065790559082204315,0.006577515519238863,0.007249384812704903,0.009677236427961861,0.015401975141528594,0.019364599589396056,0.018839561480644126,0.019095843125430327,0.019727868809958284,0.019331170910188492,0.01863255904965233,0.018464407201818703,0.019314917144092843,0.01969660718709936,0.019270139827558815,0.019763997442335278,0.020325619868545093,0.020798724911416794,0.02065234889293003,0.021140161483413713,0.021973204956415263,0.02134944491098446,0.021308420331898472
jesiigh,0.0008125344474211859,0.0005192334132836292,0.0005088882631990898,0.0006741751779285043,0.0009450208536644739,0.0011750672333285129,0.0013824930825535034,0.0014804104343635314,0.0013693768297735494,0.0015026521724051634,0.0023233653966772765,0.002850133375108077,0.0032534115150181504,0.003327590776629321,0.0031990326543846646,0.0033825114146980896,0.0035422958664673935,0.003541466490095117,0.0039032144147597174,0.005210418497092431,0.008292732823732421,0.010426289430920511,0.010143598365771486,0.01028158555172066,0.010621880876921837,0.01040829075849238,0.010032144098490563,0.009941607765644438,0.010399539404307472,0.010605048991165426,0.010375430397562021,0.010641333258375268,0.010943722054979451,0.011198451314184458,0.011119639525309437,0.011382287623606036,0.011830814964331922,0.0114949700252676,0.011472881567752249
Angeles,0.0001217256932526891,7.778629865171412e-05,7.623649289290553e-05,0.00010099810680957296,0.00014157346671965458,0.00017603668872058113,0.000207111131626448,0.00022178011897630343,0.00020514618728767605,0.0002251121512253423,0.0003480631061088433,0.00042697815710922125,0.00048739320943101254,0.0004985059961851619,0.00047924671849772265,0.000506733650734478,0.0005306709413002493,0.0005305466925201476,0.000584740108014438,0.0007805722030717116,0.0012423333621508679,0.0015619612350713165,0.0015196113187190697,0.001540283163368807,0.0015912627673748028,0.0015592648559997636,0.0015029143676005055,0.0014893511298630438,0.0015579538166236007,0.0015887411844819766,0.0015543420490621912,0.001594176926430274,0.0016394777576938752,0.0016776387190745074,0.0016658319339372817,0.0017051792157025325,0.0017723730456575876,0.001722060153493127,0.0017187510841823151
Ismary-Mujica,0.014503047299574402,0.01447063866836221,0.014469495569242527,0.014487759134795298,0.014515470214337377,0.014540440627919647,0.014563300189438973,0.01457153080182103,0.014556943505038153,0.014565940663445942,0.014656357842701409,0.01471485586766868,0.014756273518983303,0.014766778779465294,0.014754558790525747,0.014774760328695334,0.014792776850199004,0.014792799988989403,0.014831483097337393,0.014974925532789703,0.015318122828061626,0.01555414507921899,0.0155220641589731,0.01553801891538561,0.015574727080229642,0.015549657200649143,0.015508753392445332,0.01550535034254153,0.015560058550819359,0.015582683949046109,0.015557272414043439,0.01558658257895944,0.015619902579984723,0.015647877027387545,0.015639286052351854,0.015668335720841853,0.015717984794193157,0.015680655988096936,0.015630634257688097
Leidy-duran,5.964338874924365e-05,3.811387987101448e-05,3.735450307152031e-05,4.948724617140694e-05,6.936843887682631e-05,8.625479452144555e-05,0.00010148070968262175,0.00010866824825140154,0.00010051792248514224,0.00011030088380634466,0.0001705446286005059,0.00020921157671318762,0.00023881385997522923,0.00024425892455242796,0.00023482222671611315,0.00024829032651586266,0.00026001916607855174,0.00025995828642286684,0.00028651208013398907,0.0003824662658360432,0.0006087208845966639,0.0007653327630775204,0.0007445820698015206,0.0007547108999084792,0.0007796899840998517,0.0007640115860861838,0.0007364008656540581,0.0007297551244020898,0.0007633692004970074,0.0007784544540755694,0.000761599499696948,0.0007811178693455885,0.0008033144575721186,0.0008220126386532902,0.0008162275274166959,0.0008355069840362544,0.0008684307457702741,0.0008437783383263148,0.0007890368141775492
sappu7,0.00018907087736370822,0.00012082185231366588,0.0001184146108617485,0.00015687567806180972,0.00021989950394893728,0.00027342962931835237,0.0003216961211887605,0.0003444807793341602,0.0003186440642221903,0.00034965627058745007,0.000540630290051625,0.0006632053810709864,0.0007570452816147695,0.0007743062582041669,0.000744391714836594,0.0007870858926651958,0.0008242665766115607,0.000824073586740339,0.0009082497071718003,0.0012124266236391364,0.0019296588294836503,0.002426121989792084,0.0023603418276337386,0.002392450445791604,0.002471634701797927,0.002421933829156964,0.002334407227362188,0.0023133400788384086,0.002419897452460428,0.002467718043965449,0.0024142874613121176,0.0024761611299880014,0.002546524811503737,0.0026057984640620426,0.0025874595319509224,0.002648575840976903,0.0027529449026232155,0.0026747962192183662,0.002669656395232696
joelmonges,0.001627860973719099,0.0013388415409772583,0.0013286474091432035,0.001491521469492885,0.0017582861503036753,0.0019849485602239413,0.0021893429573740177,0.0022856823365164495,0.002176136536668271,0.0023071375230898274,0.003115854588380041,0.0036349495900907893,0.004032160304951583,0.00410538919970342,0.003978821697150797,0.004159617897874785,0.004317090535664194,0.0043162798539127705,0.004672673035143609,0.005960737275507515,0.008998206041165168,0.011100632678955408,0.010822019856069757,0.010958033324153205,0.011293309767672309,0.011082753325826023,0.010712135462976448,0.010623299605822012,0.01107478216113584,0.011277286982557696,0.011051018084819446,0.011313035223119593,0.011611004429942796,0.011862005277677015,0.011784350720390241,0.012043166298965183,0.012485151129513804,0.012154196264524337,0.008749674496550982
shax,0.24581243299289127,0.24903744055778107,0.2491511912214317,0.24733376990906883,0.24431649918071366,0.241779078930317,0.23949725277083642,0.23837484017150376,0.2395547377867711,0.23798804002259194,0.22895909795834352,0.2231721562844074,0.2186823381595607,0.2179075017423033,0.21935615671720401,0.21733743065242053,0.21558689169039638,0.21559803984793843,0.21159764473908993,0.19720656163411965,0.16336099751443553,0.13990617521452944,0.14299959155808942,0.14149485421899802,0.13773733234057922,0.14005991044769686,0.1442074981147444,0.14531966204961078,0.14035706574341789,0.1380959136247338,0.14061999809773448,0.13769499245193675,0.13436841983441547,0.13156448764241704,0.13243314236947065,0.1295456769289682,0.12461543482588036,0.12830436131563921,0.12770626689161443
ishoboy,0.048086461369946674,0.04871734565760736,0.048739597855459366,0.04838406921654637,0.047793822943991406,0.04729744625805889,0.046851069546617406,0.046631500302532373,0.04686231491351947,0.046555833460981376,0.04478956855526555,0.0436575121174941,0.042779202329865214,0.042627626833895274,0.042911016451909256,0.04251610805875437,0.04217366311750766,0.04217584394880438,0.04139327635234871,0.03857805560304325,0.03195709916170527,0.027368806402339373,0.027973948476296473,0.027679587881727898,0.0269445317722652,0.02739888048468296,0.028210242268550564,0.028427806642491515,0.027457010769122138,0.02701467836679886,0.027508446273603396,0.02693624913417882,0.026285496429284568,0.02573698399078484,0.02590691246619883,0.025342059038439977,0.02437759237762842,0.02509922968045554,0.032260135596249635
blackhawk,0.0001413744811069105,9.034245207611754e-05,8.85424788813604e-05,0.00011730107721254039,0.0001644260538689145,0.0002044522800292293,0.00024054271520451795,0.00025757954957805176,0.00023826059235210453,0.00026144943372207943,0.0004042469564453285,0.0004959003624649105,0.000566067526395615,0.0005789741233435433,0.0005566060405107476,0.0005885298741596166,0.0006163310880398793,0.0006161867831988415,0.00067912802255586,0.0009065710551893142,0.0014428690422102184,0.001814090790667467,0.0017649048111981105,0.0017889134755382885,0.0018481221345386693,0.0018109591659305512,0.0017455126620356963,0.0017297600658004641,0.001809436500447505,0.0018451935213304345,0.0018052417265158169,0.001851506692994007,0.0019041199198524363,0.0019484407692110706,0.001934728149650539,0.0019804268135388786,0.0020584669757235537,0.002000032648239603,0.0019961894336785516
santiago02,7.407178226966102e-05,4.733404775384428e-05,4.639096933170349e-05,6.145875679439911e-05,8.614942927661408e-05,0.00010712078058421663,0.00012603001254312795,0.00013495629596005064,0.00012483431650440113,0.0001369838840613889,0.0002118012551243087,0.0002598221644270377,0.0002965855664813614,0.00030334785223112316,0.00029162831311481245,0.00030835449479015806,0.0003229206699955249,0.0003228450628797137,0.00035582251214023516,0.0004749890736021759,0.0007559771799084995,0.0009504751990007451,0.0009247046841705683,0.0009372837899870289,0.0009683055901281608,0.0009488344147244959,0.0009145443565127579,0.0009062909371588391,0.0009480366289766958,0.0009667711717648611,0.0009458388180358124,0.0009700788965623902,0.0009976450842778008,0.0010208665615769222,0.001013681968130625,0.0010376253379315136,0.0010785137207313831,0.001047897624045645,0.0010458840092125229
fabio90,0.0026890985697837627,0.0027243789790156988,0.0027256233698840144,0.002705741442056911,0.0026727335982245975,0.0026449751440113423,0.002620012796146164,0.0026077340107372093,0.002620641661302624,0.0026035025578584163,0.0025047292171611495,0.0024414221810225268,0.0023923052045087163,0.0023838287760543286,0.0023996765343376873,0.0023775924057706367,0.0023584421465188353,0.002358564103305712,0.0023148012364938224,0.002157368024007235,0.001787109868389861,0.0015305226472583987,0.0015643634964128978,0.0015479022174727558,0.001506796295424137,0.0015322044547674918,0.0015775775546050938,0.00158974422335411,0.001535455225572686,0.001510719044190873,0.0015383316098520894,0.0015063331124491872,0.0014699416184993388,0.0014392676206243342,0.001448770387248931,0.0014171825660316874,0.0013632475114590625,0.0014036030249164916,0.0013970600895545232
MariaEstrada,0.0007584165617634466,0.00048465049242538865,0.0004749943686967952,0.0006292725460361379,0.0008820788692783242,0.0010968032847965378,0.0012904137832675452,0.0013818094668997109,0.0012781711228262993,0.0014025698205643647,0.002168620421522577,0.0026603036483894855,0.0030367219298244067,0.0031059605703815532,0.0029859649082050097,0.0031572232849977366,0.003306365484345398,0.0033055913475950535,0.0036432454841303545,0.0048633848010447706,0.007740405266212512,0.009731858885793645,0.009467996121141607,0.009596792835505076,0.009914423197322178,0.00971505899342899,0.00936396513211297,0.009279458863499061,0.009706890512729178,0.00989871237919762,0.0096843872575608,0.009932579976160105,0.010214828528408193,0.0104525918497787,0.010379029225898907,0.010624183961548605,0.011042837674864832,0.010729361286535434,0.010708744004330821
FrankArmoton,0.10117979626831529,0.10250725397420261,0.1025540753201916,0.10180599957853909,0.1005640492269466,0.09951961196697424,0.09858038076892238,0.09811838022343836,0.09860404239632639,0.09795916793386071,0.0942427305370367,0.0918607453280037,0.09001267410710287,0.0896937407240968,0.09029002714231786,0.08945909158112825,0.08873854553965738,0.08874313427544726,0.08709651633518319,0.0811729475436754,0.06724164536940794,0.05758731620094531,0.0588606091406215,0.05824123844584872,0.056694590485437596,0.05765059574861405,0.05935780018106431,0.05981558223454572,0.05777290897709901,0.05684218750009894,0.057881135569701314,0.05667716280183874,0.055307899515948326,0.05415376225575216,0.05451131255229609,0.05332279185200145,0.05129343603191434,0.052811849181884606,0.05256566524710457
romel,0.0004429270761640388,0.0002830434307398391,0.00027740410419317273,0.00036750496096500277,0.0005151477884489942,0.0006405501891104118,0.0007536217335965052,0.0008069982353320185,0.0007464718293524552,0.0008191226049890256,0.0012665080788599882,0.0015536587359720703,0.0017734928709532425,0.0018139293146778388,0.0017438499803386167,0.0018438675378732595,0.0019309689035609172,0.0019305167956499508,0.002127712066679543,0.0028402924181648694,0.004520517148144215,0.00568355705722321,0.005529457095871971,0.00560467638166908,0.005790177456610607,0.005673745658606539,0.005468701379127379,0.005419348402990281,0.00566897513874255,0.005781002094300644,0.0056558328874806215,0.005800781298046427,0.005965618845512553,0.006104476325772243,0.0060615146084881805,0.006204688789727852,0.006449189074285473,0.006266113984513751,0.006254073170816191
